3.600220553092566833e-01,1.844698182043715828e-01,8.233450150128451828e-02,9.830867146817136026e-01,7.498102198620905101e-01
2.361912547541394902e-01,4.679825527847470967e-01,8.338671067134598713e-01,1.453532870386429199e-01,3.416101092526911964e-01
7.110664741571803837e-01,8.042895470166770977e-01,9.862735410705826267e-01,7.508860573619646761e-02,9.811110174843774567e-01
9.761831894822196043e-01,2.524703137490895699e-01,1.169375886266904585e-01,5.466263862962681408e-01,5.102538068664230764e-02
2.895940258941479550e-01,5.437145689330251663e-01,8.392019637106883367e-01,3.644505131260712405e-01,6.091218769748411033e-01
7.601389754437670732e-02,6.092153283512187212e-01,4.405282041699625228e-01,2.073188756368526953e-02,5.873062969715759918e-01
7.717620989107718543e-01,9.342239453436609331e-01,7.676058030336944116e-01,9.403235900013772186e-01,8.868175771131872054e-01
5.248755604513088979e-01,5.805523158512966297e-01,9.421354706041995541e-02,8.450413459867502919e-01,6.220767002273008828e-02
9.690491756016371694e-01,4.559900452124110437e-02,9.181416235037616058e-01,8.330023395518135754e-01,4.562109309071401553e-01
3.530994445426626216e-01,3.139329150062064588e-01,4.729028995666347823e-01,6.843587013638909866e-01,8.583040393385560352e-01
